City	County	Latitude	Longitude
Abbot	Pope	373326N	0884156W
Abingdon	Knox	404816N	0902406W
Adair	Mcdonough	402508N	0902948W
Adams	Adams	395155N	0911153W
Adams Corner	Wabash	383047N	0874431W
Addatorata Village	Cook	420854N	0875625W
Addieville	Washington	382329N	0892924W
Addison	Du Page	415554N	0875920W
Adeline	Ogle	420836N	0892925W
Aden	Hamilton	381430N	0882730W
Adrian	Hancock	403115N	0911001W
Advance	Jasper	390924N	0880144W
Afolkey	Stephenson	422557N	0893428W
Agnew	Whiteside	414712N	0894800W
Ahern	Kankakee	410915N	0873617W
Aiken	Jo Daviess	422109N	0902455W
Akin	Franklin	375916N	0884508W
Akin Junction	Franklin	380036N	0884541W
Akron	Peoria	405414N	0893914W
Aladdin	Pike	394259N	0911923W
Albany	Whiteside	414722N	0901309W
Albers	Clinton	383236N	0893644W
Albion	Edwards	382239N	0880322W
Alda	Washington	382746N	0891412W
Alden	McHenry	422732N	0883104W
Aldridge	Union	373330N	0892812W
Aledo	Mercer	411159N	0904457W
Alexander	Morgan	394328N	0900217W
Alexis	Warren	410348N	0903321W
Alexis Junction	Mercer	410402N	0903818W
Algonquin	McHenry	420956N	0881739W
Alhambra	Madison	385318N	0894353W
Aliceville	Henry	413308N	0895246W
Allen	Mason	401818N	0893858W
Allendale	Wabash	383136N	0874235W
Allens Corners	Kane	420558N	0882853W
Allens Spring	Pope	372208N	0883925W
Allentown	Tazewell	403321N	0892348W
Allenville	Moultrie	393320N	0883147W
Allerton	Champaign	395442N	0875611W
Allright	Clark	391750N	0874456W
Alma	Marion	384318N	0885433W
Almora	Kane	420339N	0882010W
Alonzo	Iroquois	403400N	0874352W
Alorton	St Clair	383523N	0900712W
Alpha	Henry	411130N	0902248W
Alpine	Cook	413511N	0875253W
Alsey	Scott	393338N	0902602W
Alsip	Cook	414008N	0874419W
Alta	Peoria	404839N	0893803W
Altamont	Effingham	390343N	0884453W
Altgeld Gardens	Cook	413916N	0873607W
Altmar	La Salle	410831N	0885333W
Alto Pass	Union	373413N	0891903W
Alton	Madison	385326N	0901103W
Altona	Knox	410653N	0900952W
Altorf	Kankakee	411125N	0875744W
Alvin	Vermilion	401830N	0873630W
Alworth	Winnebago	421437N	0891444W
Amboy	Lee	414251N	0891943W
Amenia	Piatt	400119N	0883959W
America	Pulaski	370818N	0890725W
Ames	Monroe	380848N	0900316W
Amity	Richland	384635N	0875527W
Anchor	Mclean	403405N	0883208W
Ancona	Livingston	410226N	0885221W
Andalusia	Rock Island	412621N	0904303W
Anderson	Cass	395856N	0900932W
Andover	Henry	411738N	0901731W
Andres	Will	412218N	0875257W
Andrew	Sangamon	395344N	0893824W
Anna	Union	372737N	0891449W
Annapolis	Crawford	390840N	0874900W
Annawan	Henry	412350N	0895416W
Antioch	Lake	422838N	0880544W
Apple River	Jo Daviess	423018N	0900555W
Applegate	Lawrence	384734N	0874748W
Appleton	Knox	405609N	0900939W
Aptakisic	Lake	421057N	0875650W
Arbury Hills	Will	413208N	0875051W
Arcadia	Morgan	395021N	0901441W
Archer	Sangamon	394653N	0894409W
Archie	Vermilion	395339N	0874942W
Arcola	Douglas	394105N	0881823W
Ardenmoor	Clark	392157N	0874748W
Arenzville	Cass	395237N	0902224W
Argenta	Macon	395855N	0884922W
Argyle	Boone	422136N	0885624W
